Title,URL,Genre,Rating,Review_URL,Review_Count,Average_Price,pop_score
金澤能登牛 牛や 榮太郎　 武蔵店,https://tabelog.com/ishikawa/A1701/A170101/17009321/,"
              金沢駅 901m (北鉄金沢駅 802m) / 焼肉・ホルモン(焼肉)、焼肉・ホルモン(ホルモン)、居酒屋
            ",3.13,https://tabelog.com/ishikawa/A1701/A170101/17009321/dtlrvwlst/,38,5000.0,12.0
スーパーミートブラザーズ,https://tabelog.com/ishikawa/A1701/A170101/17011008/,"
              金沢駅 1982m (野町駅 890m) / 焼肉・ホルモン(焼肉)、居酒屋、焼肉・ホルモン(ホルモン)
            ",3.06,https://tabelog.com/ishikawa/A1701/A170101/17011008/dtlrvwlst/,12,6500.0,7.9
金澤焼肉せなら,https://tabelog.com/ishikawa/A1701/A170101/17008289/,"
              金沢駅 2213m (新西金沢駅 1796m) / 焼肉・ホルモン(焼肉)、焼肉・ホルモン(ホルモン)、居酒屋
            ",3.36,https://tabelog.com/ishikawa/A1701/A170101/17008289/dtlrvwlst/,56,3000.0,14.0
旅亭 まんぷく クロスゲート金沢店,https://tabelog.com/ishikawa/A1701/A170101/17014014/," 金沢駅 213m / 焼肉・ホルモン(焼肉)、焼肉・ホルモン(ホルモン)
            ",3.18,https://tabelog.com/ishikawa/A1701/A170101/17014014/dtlrvwlst/,25,3500.0,10.4
焼肉ホルモン 誠 金沢店,https://tabelog.com/ishikawa/A1701/A170101/17012736/," 金沢駅 2747m / 焼肉・ホルモン(焼肉)
            ",3.29,https://tabelog.com/ishikawa/A1701/A170101/17012736/dtlrvwlst/,34,2500.0,11.9
焼肉うら,https://tabelog.com/ishikawa/A1701/A170101/17001892/,"
              金沢駅 306m (北鉄金沢駅 153m) / 焼肉・ホルモン(焼肉)、焼肉・ホルモン(ホルモン)、鉄板焼き
            ",3.09,https://tabelog.com/ishikawa/A1701/A170101/17001892/dtlrvwlst/,37,4500.0,11.9
丸金ホルモン,https://tabelog.com/ishikawa/A1701/A170101/17009087/,"
              金沢駅 2228m (野町駅 911m) / 焼肉・ホルモン(焼肉)、焼肉・ホルモン(ホルモン)、居酒屋
            ",3.19,https://tabelog.com/ishikawa/A1701/A170101/17009087/dtlrvwlst/,35,4500.0,12.1
焼肉亭 大島 松村店,https://tabelog.com/ishikawa/A1701/A170101/17001178/,"
              金沢駅 2997m (上諸江駅 2876m) / 焼肉・ホルモン(焼肉)、焼肉・ホルモン(ホルモン)、居酒屋
            ",3.17,https://tabelog.com/ishikawa/A1701/A170101/17001178/dtlrvwlst/,15,3500.0,8.4
焼肉 蔵 アルプラザ金沢店,https://tabelog.com/ishikawa/A1701/A170101/17000631/,"
              金沢駅 1488m (上諸江駅 388m) / 焼肉・ホルモン(焼肉)
            ",3.03,https://tabelog.com/ishikawa/A1701/A170101/17000631/dtlrvwlst/,14,2000.0,7.8
金沢焼肉楽処 万場 駅前本店,https://tabelog.com/ishikawa/A1701/A170101/17000656/,"
              金沢駅 584m (北鉄金沢駅 439m) / 焼肉・ホルモン(焼肉)
            ",3.09,https://tabelog.com/ishikawa/A1701/A170101/17000656/dtlrvwlst/,32,5500.0,11.1
肉匠Jade金澤,https://tabelog.com/ishikawa/A1701/A170101/17010645/,"
              金沢駅 330m (北鉄金沢駅 193m) / 焼肉・ホルモン(焼肉)、焼肉・ホルモン(ホルモン)
            ",3.55,https://tabelog.com/ishikawa/A1701/A170101/17010645/dtlrvwlst/,209,4000.0,18.5
焼肉きんぐ 金沢桜田店,https://tabelog.com/ishikawa/A1701/A170101/17010512/," 金沢駅 2483m / 焼肉・ホルモン(焼肉)
            ",3.01,https://tabelog.com/ishikawa/A1701/A170101/17010512/dtlrvwlst/,10,2000.0,6.9
焼肉 正,https://tabelog.com/ishikawa/A1701/A170101/17013845/,"
              金沢駅 1971m (野町駅 900m) / 焼肉・ホルモン(焼肉)
            ",3.15,https://tabelog.com/ishikawa/A1701/A170101/17013845/dtlrvwlst/,10,6500.0,7.3
銘酒と焼肉 京澤,https://tabelog.com/ishikawa/A1701/A170101/17000575/,"
              金沢駅 2004m (野町駅 939m) / 焼肉・ホルモン(焼肉)
            ",3.25,https://tabelog.com/ishikawa/A1701/A170101/17000575/dtlrvwlst/,31,8500.0,11.5
焼肉こさり,https://tabelog.com/ishikawa/A1701/A170101/17009673/,"
              金沢駅 2505m (新西金沢駅 1463m) / 焼肉・ホルモン(焼肉)、焼肉・ホルモン(ホルモン)
            ",3.09,https://tabelog.com/ishikawa/A1701/A170101/17009673/dtlrvwlst/,13,3500.0,7.6
かなめ,https://tabelog.com/ishikawa/A1701/A170101/17001904/,"
              金沢駅 392m (北鉄金沢駅 334m) / 焼肉・ホルモン(焼肉)
            ",3.36,https://tabelog.com/ishikawa/A1701/A170101/17001904/dtlrvwlst/,92,4500.0,15.3
能登牛焼肉 味道苑 大手町店,https://tabelog.com/ishikawa/A1701/A170101/17003896/,"
              金沢駅 1525m (北鉄金沢駅 1406m) / 焼肉・ホルモン(焼肉)、焼肉・ホルモン(ホルモン)
            ",3.38,https://tabelog.com/ishikawa/A1701/A170101/17003896/dtlrvwlst/,85,4500.0,15.3
寅亭 長田店,https://tabelog.com/ishikawa/A1701/A170101/17000482/," 金沢駅 864m / 焼肉・ホルモン(焼肉)、焼肉・ホルモン(ホルモン)、居酒屋
            ",3.14,https://tabelog.com/ishikawa/A1701/A170101/17000482/dtlrvwlst/,31,3000.0,11.0
七輪焼肉 加羅,https://tabelog.com/ishikawa/A1701/A170101/17009836/,"
              金沢駅 2255m (野町駅 782m) / 焼肉・ホルモン(焼肉)、焼肉・ホルモン(ホルモン)、韓国料理
            ",3.03,https://tabelog.com/ishikawa/A1701/A170101/17009836/dtlrvwlst/,12,,7.5
おおはし,https://tabelog.com/ishikawa/A1701/A170101/17001917/,"
              金沢駅 1582m (野町駅 1170m) / 焼肉・ホルモン(焼肉)
            ",3.28,https://tabelog.com/ishikawa/A1701/A170101/17001917/dtlrvwlst/,51,4500.0,13.5
焼肉 肉割烹 万福,https://tabelog.com/ishikawa/A1701/A170101/17012297/," 金沢駅 421m / 焼肉・ホルモン(焼肉)
            ",3.36,https://tabelog.com/ishikawa/A1701/A170101/17012297/dtlrvwlst/,46,6500.0,15.0
焼肉　戸板商店,https://tabelog.com/ishikawa/A1701/A170101/17011559/," 金沢駅 2324m / 焼肉・ホルモン(焼肉)
            ",3.34,https://tabelog.com/ishikawa/A1701/A170101/17011559/dtlrvwlst/,35,4500.0,12.0
次三郎,https://tabelog.com/ishikawa/A1701/A170101/17009293/,"
              金沢駅 2200m (野町駅 863m) / 焼肉・ホルモン(焼肉)
            ",3.17,https://tabelog.com/ishikawa/A1701/A170101/17009293/dtlrvwlst/,24,8500.0,10.6
大同門,https://tabelog.com/ishikawa/A1701/A170101/17001365/,"
              金沢駅 2260m (野町駅 782m) / 焼肉・ホルモン(焼肉)
            ",3.06,https://tabelog.com/ishikawa/A1701/A170101/17001365/dtlrvwlst/,13,3500.0,7.0
金ちゃん,https://tabelog.com/ishikawa/A1701/A170101/17001891/,"
              金沢駅 452m (北鉄金沢駅 298m) / 焼肉・ホルモン(焼肉)
            ",3.13,https://tabelog.com/ishikawa/A1701/A170101/17001891/dtlrvwlst/,13,,7.4
A5和牛専門 ステーキハウス大地 金沢,https://tabelog.com/ishikawa/A1701/A170101/17005172/,"
              金沢駅 2710m (西金沢駅 1310m) / ステーキ、ハンバーグ、焼肉・ホルモン(焼肉)
            ",3.53,https://tabelog.com/ishikawa/A1701/A170101/17005172/dtlrvwlst/,125,2500.0,17.0
焼肉ホルモンくろまる,https://tabelog.com/ishikawa/A1701/A170101/17010038/,"
              金沢駅 374m (北鉄金沢駅 230m) / 焼肉・ホルモン(ホルモン)、焼肉・ホルモン(焼肉)
            ",3.08,https://tabelog.com/ishikawa/A1701/A170101/17010038/dtlrvwlst/,20,4500.0,9.3
能登牛認定店 焼肉 飛天龍 新神田店,https://tabelog.com/ishikawa/A1701/A170101/17004738/,"
              金沢駅 2646m (新西金沢駅 975m) / 焼肉・ホルモン(焼肉)、居酒屋、海鮮
            ",3.50,https://tabelog.com/ishikawa/A1701/A170101/17004738/dtlrvwlst/,51,4500.0,14.0
あき虎,https://tabelog.com/ishikawa/A1701/A170101/17006180/,"
              金沢駅 1760m (磯部駅 537m) / 焼肉・ホルモン(焼肉)
            ",3.09,https://tabelog.com/ishikawa/A1701/A170101/17006180/dtlrvwlst/,14,3500.0,7.7
コリヤンハウス駅前韓の家,https://tabelog.com/ishikawa/A1701/A170101/17006520/,"
              金沢駅 344m (北鉄金沢駅 189m) / 韓国料理、焼肉・ホルモン(焼肉)、焼肉・ホルモン(ホルモン)
            ",3.12,https://tabelog.com/ishikawa/A1701/A170101/17006520/dtlrvwlst/,23,4500.0,10.1
しちりん家 桜田店,https://tabelog.com/ishikawa/A1701/A170101/17000283/," 金沢駅 2498m / 焼肉・ホルモン(焼肉)
            ",3.11,https://tabelog.com/ishikawa/A1701/A170101/17000283/dtlrvwlst/,18,4500.0,9.5
アジェ 金沢店,https://tabelog.com/ishikawa/A1701/A170101/17009941/,"
              金沢駅 1600m (野町駅 1376m) / 焼肉・ホルモン(焼肉)、焼肉・ホルモン(ホルモン)
            ",3.20,https://tabelog.com/ishikawa/A1701/A170101/17009941/dtlrvwlst/,30,4500.0,10.7
焼肉ホルモン とばち,https://tabelog.com/ishikawa/A1701/A170101/17009267/,"
              金沢駅 1727m (野町駅 1036m) / 焼肉・ホルモン(焼肉)、焼肉・ホルモン(ホルモン)
            ",3.06,https://tabelog.com/ishikawa/A1701/A170101/17009267/dtlrvwlst/,10,,7.0
宮GUNG,https://tabelog.com/ishikawa/A1701/A170101/17008953/,"
              金沢駅 1679m (西泉駅 1468m) / 韓国料理、焼肉・ホルモン(焼肉)
            ",3.24,https://tabelog.com/ishikawa/A1701/A170101/17008953/dtlrvwlst/,44,2000.0,12.2
焼肉 有牛,https://tabelog.com/ishikawa/A1701/A170101/17008263/,"
              金沢駅 2797m (東金沢駅 190m) / 焼肉・ホルモン(焼肉)、韓国料理、居酒屋
            ",3.22,https://tabelog.com/ishikawa/A1701/A170101/17008263/dtlrvwlst/,39,4500.0,12.7
焼肉 きたじま,https://tabelog.com/ishikawa/A1701/A170101/17011805/,"
              金沢駅 1254m (北鉄金沢駅 1176m) / 焼肉・ホルモン(焼肉)
            ",3.07,https://tabelog.com/ishikawa/A1701/A170101/17011805/dtlrvwlst/,11,,7.3
すたみな太郎 金沢店,https://tabelog.com/ishikawa/A1701/A170101/17000719/,"
              金沢駅 2412m (東金沢駅 870m) / ビュッフェ、焼肉・ホルモン(焼肉)、寿司
            ",3.02,https://tabelog.com/ishikawa/A1701/A170101/17000719/dtlrvwlst/,22,1500.0,9.6
遊々亭,https://tabelog.com/ishikawa/A1701/A170101/17000467/,"
              金沢駅 2834m (西金沢駅 1251m) / 焼肉・ホルモン(焼肉)
            ",3.06,https://tabelog.com/ishikawa/A1701/A170101/17000467/dtlrvwlst/,14,1000.0,7.5
焼肉NOBU,https://tabelog.com/ishikawa/A1701/A170101/17010222/,"
              金沢駅 1904m (野町駅 1037m) / 焼肉・ホルモン(焼肉)
            ",3.34,https://tabelog.com/ishikawa/A1701/A170101/17010222/dtlrvwlst/,39,5500.0,12.8
焼肉 いちぼ,https://tabelog.com/ishikawa/A1701/A170101/17010849/,"
              金沢駅 2281m (野町駅 759m) / 焼肉・ホルモン(焼肉)
            ",3.07,https://tabelog.com/ishikawa/A1701/A170101/17010849/dtlrvwlst/,18,5500.0,9.5
ほがらか屋 本店,https://tabelog.com/ishikawa/A1701/A170101/17004779/,"
              金沢駅 371m (北鉄金沢駅 264m) / 焼肉・ホルモン(焼肉)
            ",3.34,https://tabelog.com/ishikawa/A1701/A170101/17004779/dtlrvwlst/,64,4500.0,14.2
ハイカラトンボ,https://tabelog.com/ishikawa/A1701/A170101/17007961/,"
              金沢駅 1832m (野町駅 1068m) / 焼肉・ホルモン(ジンギスカン)、居酒屋、焼肉・ホルモン(焼肉)
            ",3.25,https://tabelog.com/ishikawa/A1701/A170101/17007961/dtlrvwlst/,45,3500.0,12.5
カナザワ焼肉スクランブル,https://tabelog.com/ishikawa/A1701/A170101/17013756/,"
              金沢駅 2118m (野町駅 954m) / 焼肉・ホルモン(焼肉)
            ",3.08,https://tabelog.com/ishikawa/A1701/A170101/17013756/dtlrvwlst/,12,,7.6
十三,https://tabelog.com/ishikawa/A1701/A170101/17012001/,"
              金沢駅 464m (北鉄金沢駅 455m) / 焼肉・ホルモン(焼肉)
            ",3.16,https://tabelog.com/ishikawa/A1701/A170101/17012001/dtlrvwlst/,21,4500.0,10.1
焼肉飯場 円蔵,https://tabelog.com/ishikawa/A1701/A170101/17000682/," 金沢駅 1112m / 焼肉・ホルモン(焼肉)
            ",3.06,https://tabelog.com/ishikawa/A1701/A170101/17000682/dtlrvwlst/,11,,7.3
焼肉ホルモン あかまる,https://tabelog.com/ishikawa/A1701/A170101/17010592/," 金沢駅 258m / 焼肉・ホルモン(焼肉)
            ",3.05,https://tabelog.com/ishikawa/A1701/A170101/17010592/dtlrvwlst/,20,4500.0,9.4
ANAクラウンプラザ ビアテラス ANAクラウンプラザホテル金沢,https://tabelog.com/ishikawa/A1701/A170101/17007672/,"
              金沢駅 191m (北鉄金沢駅 189m) / ビアガーデン、焼肉・ホルモン(焼肉)、ビュッフェ
            ",3.12,https://tabelog.com/ishikawa/A1701/A170101/17007672/dtlrvwlst/,10,6500.0,7.2
焼肉ホルモンまる,https://tabelog.com/ishikawa/A1701/A170101/17012183/,"
              金沢駅 1950m (野町駅 1093m) / 焼肉・ホルモン(ホルモン)
            ",3.08,https://tabelog.com/ishikawa/A1701/A170101/17012183/dtlrvwlst/,20,5500.0,9.4
ホルモン光 諸江店,https://tabelog.com/ishikawa/A1701/A170101/17008476/,"
              金沢駅 2087m (磯部駅 533m) / 焼肉・ホルモン(焼肉)
            ",3.28,https://tabelog.com/ishikawa/A1701/A170101/17008476/dtlrvwlst/,31,2000.0,10.9
焼肉ライク 金沢諸江店,https://tabelog.com/ishikawa/A1701/A170101/17013305/,"
              金沢駅 1336m (上諸江駅 259m) / 焼肉・ホルモン(焼肉)
            ",3.03,https://tabelog.com/ishikawa/A1701/A170101/17013305/dtlrvwlst/,27,1000.0,10.3
焼肉ホルモントリコ,https://tabelog.com/ishikawa/A1701/A170101/17014046/,"
              金沢駅 435m (北鉄金沢駅 281m) / 焼肉・ホルモン(焼肉)、焼肉・ホルモン(ホルモン)
            ",3.08,https://tabelog.com/ishikawa/A1701/A170101/17014046/dtlrvwlst/,13,4500.0,7.8
岡久,https://tabelog.com/ishikawa/A1701/A170101/17003654/,"
              金沢駅 1597m (野町駅 1163m) / 焼肉・ホルモン(ホルモン)、焼肉・ホルモン(焼肉)
            ",3.12,https://tabelog.com/ishikawa/A1701/A170101/17003654/dtlrvwlst/,15,3500.0,8.5
昌徳園,https://tabelog.com/ishikawa/A1701/A170101/17001899/," 金沢駅 606m / 焼肉・ホルモン(焼肉)
            ",3.57,https://tabelog.com/ishikawa/A1701/A170101/17001899/dtlrvwlst/,82,5500.0,16.4
金沢肉食堂 10&10,https://tabelog.com/ishikawa/A1701/A170101/17011187/,"
              金沢駅 1588m (上諸江駅 1447m) / 焼肉・ホルモン(焼肉)、焼肉・ホルモン(ホルモン)
            ",3.44,https://tabelog.com/ishikawa/A1701/A170101/17011187/dtlrvwlst/,147,1000.0,17.0
ホルモンゆうちゃん,https://tabelog.com/ishikawa/A1701/A170101/17010687/,"
              金沢駅 2102m (野町駅 832m) / 焼肉・ホルモン(ホルモン)
            ",3.25,https://tabelog.com/ishikawa/A1701/A170101/17010687/dtlrvwlst/,13,,8.3
炎牛 MOJAR',https://tabelog.com/ishikawa/A1701/A170101/17012208/,"
              金沢駅 2647m (上諸江駅 2360m) / 焼肉・ホルモン(焼肉)
            ",3.06,https://tabelog.com/ishikawa/A1701/A170101/17012208/dtlrvwlst/,12,2000.0,7.7
さいさい,https://tabelog.com/ishikawa/A1701/A170101/17000625/,"
              金沢駅 2051m (野町駅 889m) / もつ鍋、焼肉・ホルモン(ホルモン)、居酒屋
            ",3.07,https://tabelog.com/ishikawa/A1701/A170101/17000625/dtlrvwlst/,15,4500.0,8.5
桜はなび,https://tabelog.com/ishikawa/A1701/A170101/17006497/,"
              金沢駅 508m (北鉄金沢駅 405m) / 焼肉・ホルモン(焼肉)、天ぷら
            ",3.22,https://tabelog.com/ishikawa/A1701/A170101/17006497/dtlrvwlst/,19,2500.0,9.7
赤から 金沢駅前店,https://tabelog.com/ishikawa/A1701/A170101/17000581/,"
              金沢駅 351m (北鉄金沢駅 202m) / 居酒屋、鍋、焼肉・ホルモン(焼肉)
            ",3.03,https://tabelog.com/ishikawa/A1701/A170101/17000581/dtlrvwlst/,20,3500.0,9.1
力八精肉店直営 金澤力八,https://tabelog.com/ishikawa/A1701/A170101/17011359/,"
              金沢駅 1223m (上諸江駅 762m) / 焼肉・ホルモン(焼肉)
            ",3.29,https://tabelog.com/ishikawa/A1701/A170101/17011359/dtlrvwlst/,33,4500.0,11.8
焼肉 バンライ,https://tabelog.com/ishikawa/A1701/A170101/17013261/,"
              金沢駅 875m (北鉄金沢駅 744m) / 焼肉・ホルモン(焼肉)、丼
            ",3.18,https://tabelog.com/ishikawa/A1701/A170101/17013261/dtlrvwlst/,12,3000.0,8.6
焼肉 有亭,https://tabelog.com/ishikawa/A1701/A170101/17011751/,"
              金沢駅 2610m (新西金沢駅 1345m) / 焼肉・ホルモン(焼肉)
            ",3.56,https://tabelog.com/ishikawa/A1701/A170101/17011751/dtlrvwlst/,34,2500.0,13.1
焼肉ホルモン 牛に恋したブタ野郎,https://tabelog.com/ishikawa/A1701/A170101/17013397/,"
              金沢駅 1171m (七ツ屋駅 619m) / 焼肉・ホルモン(焼肉)、焼肉・ホルモン(ホルモン)
            ",3.04,https://tabelog.com/ishikawa/A1701/A170101/17013397/dtlrvwlst/,5,4500.0,4.9
焼肉居酒屋 炎,https://tabelog.com/ishikawa/A1701/A170101/17014171/,"
              金沢駅 2005m (野町駅 967m) / 焼肉・ホルモン(焼肉)、居酒屋
            ",0.0, - ,0,,0.0
味道苑 増泉店,https://tabelog.com/ishikawa/A1701/A170101/17004795/,"
              金沢駅 2581m (西泉駅 545m) / 焼肉・ホルモン(焼肉)
            ",3.05,https://tabelog.com/ishikawa/A1701/A170101/17004795/dtlrvwlst/,7,6500.0,5.8
親鶏・鶏ホルモン 港屋,https://tabelog.com/ishikawa/A1701/A170101/17012077/,"
              金沢駅 2134m (西泉駅 1347m) / 鳥料理、焼肉・ホルモン(焼肉)、焼肉・ホルモン(ホルモン)
            ",3.04,https://tabelog.com/ishikawa/A1701/A170101/17012077/dtlrvwlst/,3,3500.0,3.3
焼肉 以波太,https://tabelog.com/ishikawa/A1701/A170101/17004932/,"
              金沢駅 2332m (東金沢駅 476m) / 焼肉・ホルモン(焼肉)
            ",3.01,https://tabelog.com/ishikawa/A1701/A170101/17004932/dtlrvwlst/,6,,5.4
焼肉 アダン,https://tabelog.com/ishikawa/A1701/A170101/17013762/,"
              金沢駅 1372m (七ツ屋駅 957m) / 焼肉・ホルモン(焼肉)、焼肉・ホルモン(ホルモン)
            ",3.04,https://tabelog.com/ishikawa/A1701/A170101/17013762/dtlrvwlst/,8,4500.0,6.3
